"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
North America,33314851,"+93,328",751603.0,"+3,553",22948328.0,"+109,779",9614920.0,22490.0,,,,,,North America,,,
Asia,24790412,"+75,919",395760.0,+973,23318430.0,"+67,155",1076222.0,21854.0,,,,,,Asia,,,
South America,17760008,"+98,062",461790.0,"+2,317",16093039.0,"+63,156",1205179.0,19097.0,,,,,,South America,,,
Europe,33719561,"+163,979",805086.0,"+3,325",23276803.0,"+156,899",9637672.0,25444.0,,,,,,Europe,,,
Africa,3896280,"+12,554",102980.0,+361,3449084.0,"+14,256",344216.0,2527.0,,,,,,Africa,,,
Oceania,51072,+111,1088.0,+1,34263.0,+5,15721.0,5.0,,,,,,Australia/Oceania,,,
,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,
World,113532905,"+443,953",2518322.0,"+10,530",89120653.0,"+411,250",21893930.0,91417.0,14565.0,323.1,,,,All,,,
USA,29052232,"+77,347",520766.0,"+2,395",19435416.0,"+94,919",9096050.0,15871.0,87435.0,1567.0,354312416.0,1066330.0,332272677.0,North America,11.0,638.0,1.0
India,11063038,"+16,568",156861.0,+119,10748759.0,"+12,209",157418.0,8944.0,7966.0,113.0,213829658.0,153960.0,1388864178.0,Asia,126.0,8854.0,6.0
Brazil,10393886,"+67,878",251661.0,"+1,582",9323696.0,"+42,678",818529.0,8318.0,48672.0,1178.0,28600000.0,133928.0,213547458.0,South America,21.0,849.0,7.0
Russia,4212100,"+11,198",84876.0,+446,3767664.0,"+16,102",359560.0,2300.0,28855.0,581.0,110000000.0,753551.0,145975513.0,Europe,35.0,1720.0,1.0
UK,4154562,"+9,985",122070.0,+323,2727466.0,"+61,000",1305026.0,2118.0,60989.0,1792.0,88387049.0,1297531.0,68119415.0,Europe,16.0,558.0,1.0
France,3686813,"+25,403",85582.0,+261,254868.0,"+1,418",3346363.0,3430.0,56401.0,1309.0,51853607.0,793255.0,65368185.0,Europe,18.0,764.0,1.0
Spain,3180212,"+9,568",68813.0,+345,2617239.0,"+27,243",494160.0,3123.0,68002.0,1471.0,38491517.0,823055.0,46766659.0,Europe,15.0,680.0,1.0
Italy,2868435,"+19,886",96974.0,+308,2375318.0,"+12,853",396143.0,2168.0,47488.0,1605.0,39317412.0,650913.0,60403451.0,Europe,21.0,623.0,2.0
Turkey,2674766,"+9,572",28358.0,+73,2546503.0,"+6,210",99905.0,1192.0,31493.0,334.0,32811274.0,386327.0,84931406.0,Asia,32.0,2995.0,3.0
Germany,2426819,"+10,782",70003.0,+393,2226500.0,"+8,800",130316.0,3037.0,28905.0,834.0,43950029.0,523467.0,83959463.0,Europe,35.0,1199.0,2.0
Colombia,2241225,"+3,683",59396.0,+136,2138193.0,"+4,139",43636.0,2509.0,43742.0,1159.0,11342672.0,221377.0,51236893.0,South America,23.0,863.0,5.0
Argentina,2093645,"+8,234",51795.0,+145,1886732.0,"+4,164",155118.0,3467.0,46048.0,1139.0,7322351.0,161049.0,45466686.0,South America,22.0,878.0,6.0
Mexico,2060908,"+8,642",182815.0,"+1,006",1614614.0,"+6,745",263479.0,4798.0,15875.0,1408.0,5352875.0,41234.0,129817023.0,North America,63.0,710.0,24.0
Poland,1673252,"+12,142",43094.0,+286,1397342.0,"+5,361",232816.0,1375.0,44243.0,1139.0,9714184.0,256857.0,37819399.0,Europe,23.0,878.0,4.0
Iran,1607081,"+8,206",59830.0,+94,1372308.0,"+7,055",174943.0,3712.0,18975.0,706.0,10616717.0,125354.0,84693887.0,Asia,53.0,1416.0,8.0
South Africa,1509124,"+1,676",49667.0,+144,1424401.0,"+1,779",35056.0,546.0,25238.0,831.0,8999322.0,150500.0,59796279.0,Africa,40.0,1204.0,7.0
Ukraine,1325841,"+8,147",25596.0,+135,1159311.0,"+3,889",140934.0,177.0,30436.0,588.0,6809165.0,156314.0,43560897.0,Europe,33.0,1702.0,6.0
Indonesia,1314634,"+8,493",35518.0,+264,1121411.0,"+8,686",157705.0,,4773.0,129.0,10644435.0,38649.0,275411610.0,Asia,209.0,7754.0,26.0
Peru,1308722,"+7,923",45903.0,+220,1210749.0,"+6,699",52070.0,2130.0,39335.0,1380.0,7435218.0,223474.0,33271135.0,South America,25.0,725.0,4.0
Czechia,1198168,"+13,657",19835.0,+67,1046575.0,+218,131758.0,1432.0,111748.0,1850.0,7772778.0,724937.0,10722006.0,Europe,9.0,541.0,1.0
Netherlands,1073971,"+5,011",15438.0,+32,,,,526.0,62587.0,900.0,6970400.0,406207.0,17159723.0,Europe,16.0,1112.0,2.0
Canada,858220,"+3,094",21865.0,+58,806017.0,"+3,091",30338.0,588.0,22610.0,576.0,24030155.0,633066.0,37958364.0,North America,44.0,1736.0,2.0
Chile,812344,"+4,472",20310.0,+137,770190.0,"+2,858",21844.0,1635.0,42258.0,1057.0,9203323.0,478756.0,19223423.0,South America,24.0,947.0,2.0
Portugal,801746,"+1,160",16185.0,+49,711713.0,"+2,659",73848.0,536.0,78779.0,1590.0,8137268.0,799561.0,10177175.0,Europe,13.0,629.0,1.0
Romania,791971,"+3,923",20167.0,+81,733616.0,"+2,567",38188.0,985.0,41349.0,1053.0,5989349.0,312707.0,19153234.0,Europe,24.0,950.0,3.0
Israel,767726,"+3,970",5687.0,+27,722534.0,"+4,612",39505.0,755.0,83470.0,618.0,11858993.0,1289359.0,9197590.0,Asia,12.0,1617.0,1.0
Belgium,760809,"+3,113",21988.0,+32,51946.0,+179,686875.0,354.0,65459.0,1892.0,9293149.0,799572.0,11622651.0,Europe,15.0,529.0,1.0
Iraq,684362,"+4,074",13351.0,+27,627718.0,"+2,271",43293.0,379.0,16770.0,327.0,6728075.0,164872.0,40807854.0,Asia,60.0,3057.0,6.0
Sweden,652465,,12798.0,+41,,,,232.0,64343.0,1262.0,5917399.0,583543.0,10140462.0,Europe,16.0,792.0,2.0
Pakistan,575941,"+1,361",12772.0,+64,539888.0,"+1,681",23281.0,1590.0,2575.0,57.0,8831892.0,39485.0,223678725.0,Asia,388.0,17513.0,25.0
